scope	lemma	source_sha256	fixed_sha256	match
replay	normal_single_accept	c5227f458083d0fc826cd205dfb1df4f9c87e844c9dce8de702431cbdc3bdb0f	c5227f458083d0fc826cd205dfb1df4f9c87e844c9dce8de702431cbdc3bdb0f	MATCH
replay	normal_batch_complete	90764555c82363211ef4e78d08089463c97c85ffa6f29a4f1c7bd197092e06bf	90764555c82363211ef4e78d08089463c97c85ffa6f29a4f1c7bd197092e06bf	MATCH
replay	one_send_two_accepts_exists	e9c9c6b6b50d372aef6a6512bb246c43ebb66d79433f01af82067d4921e844b4	e9c9c6b6b50d372aef6a6512bb246c43ebb66d79433f01af82067d4921e844b4	MATCH
replay	same_message_accepted_at_most_once	c66e0f36b096046a54e3aaa8c4c7596d23b455f0c1039515acce95e6c87779ea	c66e0f36b096046a54e3aaa8c4c7596d23b455f0c1039515acce95e6c87779ea	MATCH
replay	full_message_unique_send	470359c1337c3ca85259e40612c31d2128c221323ffc671d2cba73d47951fa7f	470359c1337c3ca85259e40612c31d2128c221323ffc671d2cba73d47951fa7f	MATCH
replay	receiver_accept_has_sender	703ec509a70cd8a38b47f5b0a2e944d5963aa4dbb84129b7fe49fe86b8d9d841	703ec509a70cd8a38b47f5b0a2e944d5963aa4dbb84129b7fe49fe86b8d9d841	MATCH
replay	injective_receiver_accept	851a231f1a5189c2ea46c43421d4fb3ff8af50ea12333cec38d9ece81ef00c40	851a231f1a5189c2ea46c43421d4fb3ff8af50ea12333cec38d9ece81ef00c40	MATCH
replay	slot_indices_distinct	13b993991ec134db4f6a6b725dd6b4f029efd2d5d8525223702a097217288768	13b993991ec134db4f6a6b725dd6b4f029efd2d5d8525223702a097217288768	MATCH
replay	process_requires_slot_added	f90213ed510688d0a86737b74d924064ac56bfce0961381fb11b8efc7e47becf	f90213ed510688d0a86737b74d924064ac56bfce0961381fb11b8efc7e47becf	MATCH
replay	process_requires_seal	96433a8ad6eff62ab2f523b4d0f15ad18f84549c51f50f1c42a9cf7f3557da7e	96433a8ad6eff62ab2f523b4d0f15ad18f84549c51f50f1c42a9cf7f3557da7e	MATCH
replay	complete_requires_all_slots_processed	c6a5f462f32bd9eadbaab242948fb7f13494d83de4dc3c136b949b9577792a4a	c6a5f462f32bd9eadbaab242948fb7f13494d83de4dc3c136b949b9577792a4a	MATCH
replay	no_add_after_seal	d6d1bf1c660d4efdd301b91e424ce8cab358366c7d0960dc950778d7b9c0fc5f	d6d1bf1c660d4efdd301b91e424ce8cab358366c7d0960dc950778d7b9c0fc5f	MATCH
replay	no_accept_after_close	2226c0016f928de4ad97c6b0a61516d654f7f09a89520d591793085da76f6680	2226c0016f928de4ad97c6b0a61516d654f7f09a89520d591793085da76f6680	MATCH
replay	batch_complete_consumes_state	0d50d7a91921408c14679ca6c9e34b259629de8ef7146839e23977074f737582	0d50d7a91921408c14679ca6c9e34b259629de8ef7146839e23977074f737582	MATCH
replay	batch_fail_consumes_state	c464f5d899a10cd8c8869c4e3e301d6f3115430fb6eef41822e55d9450186f1d	c464f5d899a10cd8c8869c4e3e301d6f3115430fb6eef41822e55d9450186f1d	MATCH
replay	batch_end_token_single_use	6a0f507ed61d77c7e53126d3e90080f0e51e4381a099a2d73f0ef982e7e4fd23	6a0f507ed61d77c7e53126d3e90080f0e51e4381a099a2d73f0ef982e7e4fd23	MATCH
replay	receiver_state_single_batch	5070513c41bdce6772247ba690aa5f8e9ea05fd27b1f6cd34fbf427fc1d60164	5070513c41bdce6772247ba690aa5f8e9ea05fd27b1f6cd34fbf427fc1d60164	MATCH
replay	receiver_state_single_batch_end	65babac2d51d05bf2e51f60d76d88d94254ae28dbb0ea9e85c964001e76ce319	65babac2d51d05bf2e51f60d76d88d94254ae28dbb0ea9e85c964001e76ce319	MATCH
impact-composition	accept_output_has_same_time_accept	8c528f2c040c649b883adee50b3deff04c70c4a6c5d3e84d6c4a9e4217dbb3e2	8c528f2c040c649b883adee50b3deff04c70c4a6c5d3e84d6c4a9e4217dbb3e2	MATCH
impact-composition	receiver_accept_has_output	fbc0e3e55a2e85748c27472636b243440d5c88762c23c880329ea621825be348	fbc0e3e55a2e85748c27472636b243440d5c88762c23c880329ea621825be348	MATCH
impact-composition	receiver_accept_has_unique_output	1922dae6d79df15749fbf4e0a698dd720400b3feb653666af34f2a52da481182	1922dae6d79df15749fbf4e0a698dd720400b3feb653666af34f2a52da481182	MATCH
impact-composition	accept_id_unique	b87d846de8463555ba2c0b7d99fa838c90010214ca73687e9bd81fe457fffc16	b87d846de8463555ba2c0b7d99fa838c90010214ca73687e9bd81fe457fffc16	MATCH
impact-composition	install_has_prior_accept	d7dd6dd5c5c762f88ed0aa6a95534805ecfc5faf66029a9ff7d2ed1c78a1c6a9	d7dd6dd5c5c762f88ed0aa6a95534805ecfc5faf66029a9ff7d2ed1c78a1c6a9	MATCH
impact-composition	install_session_has_interface_origin	11f57d604f94446913378d3b7cba9e334d736df5ab2fdec03a3fd215f91f74b6	11f57d604f94446913378d3b7cba9e334d736df5ab2fdec03a3fd215f91f74b6	MATCH
impact-composition	install_from_accept_has_session	f42b767dcc0f398ccb210fcee68082d3159d2ac8848d374395bf4b87256ab984	f42b767dcc0f398ccb210fcee68082d3159d2ac8848d374395bf4b87256ab984	MATCH
