lemma	status	steps	exit_status	wellformedness	loop_marker	source_file	raw_result
executable_add_slot	verified	3	0	success	false	proofs/v6/executable_add_slot.out	verified (3 steps)
executable_seal_batch	verified	3	0	success	false	proofs/v6/executable_seal_batch.out	verified (3 steps)
executable_process_slot	verified	6	0	success	false	proofs/v6/executable_process_slot.out	verified (6 steps)
executable_batch_complete	verified	4	0	success	false	proofs/v6/executable_batch_complete.out	verified (4 steps)
executable_batch_fail	verified	5	0	success	false	proofs/v6/executable_batch_fail.out	verified (5 steps)
process_requires_slot_added	verified	35	0	success	false	proofs/v6/process_requires_slot_added.out	verified (35 steps)
process_requires_seal	verified	11	0	success	false	proofs/v6/process_requires_seal.out	verified (11 steps)
complete_requires_seal	verified	4	0	success	false	proofs/v6/complete_requires_seal.out	verified (4 steps)
fail_requires_seal	verified	4	0	success	false	proofs/v6/fail_requires_seal.out	verified (4 steps)
batch_complete_consumes_state	verified	2	0	success	false	proofs/v6/batch_complete_consumes_state.out	verified (2 steps)
batch_fail_consumes_state	verified	2	0	success	false	proofs/v6/batch_fail_consumes_state.out	verified (2 steps)
batch_end_token_single_use	verified	140	0	success	false	proofs/v6/batch_end_token_single_use.out	verified (140 steps)
batch_fail_complete_exclusive	verified	22	0	success	false	proofs/v6/batch_fail_complete_exclusive.out	verified (22 steps)
slot_origin_without_early_compromise	verified	43	0	success	false	proofs/v6/slot_origin_without_early_compromise.out	verified (43 steps)
slot_key_known_requires_exception	verified	15	0	success	false	proofs/v6/slot_key_known_requires_exception.out	verified (15 steps)
partnered_slot_key_not_attacker_known_without_early_compromise	verified	84	0	success	false	proofs/v6/partnered_slot_key_not_attacker_known_without_early_compromise.out	verified (84 steps)
