suite	target	event	exit_status	systemd_result	exec_main_code	exec_main_status	memory_max_mb	memory_swap_max	raw_output	unit
combined-replay	normal_confirmed_single_accept	none	0	success	0	0	16384	0	proofs/combined-replay/normal_confirmed_single_accept.out	kwaay-m4-75155-0-combined-replay-normal_confirmed_single_accept
combined-replay	normal_confirmed_batch_complete	none	0	success	0	0	16384	0	proofs/combined-replay/normal_confirmed_batch_complete.out	kwaay-m4-75155-1-combined-replay-normal_confirmed_batch_complete
combined-replay	confirmed_receiver_accept_has_sender	none	0	success	0	0	16384	0	proofs/combined-replay/confirmed_receiver_accept_has_sender.out	kwaay-m4-75155-2-combined-replay-confirmed_receiver_accept_has_sender
combined-replay	confirmed_message_unique_send	none	0	success	0	0	16384	0	proofs/combined-replay/confirmed_message_unique_send.out	kwaay-m4-75155-3-combined-replay-confirmed_message_unique_send
combined-replay	one_confirmed_send_two_accepts_exists	none	0	success	0	0	16384	0	proofs/combined-replay/one_confirmed_send_two_accepts_exists.out	kwaay-m4-75155-4-combined-replay-one_confirmed_send_two_accepts_exists
combined-replay	confirmed_message_accepted_at_most_once	none	0	success	0	0	16384	0	proofs/combined-replay/confirmed_message_accepted_at_most_once.out	kwaay-m4-75155-5-combined-replay-confirmed_message_accepted_at_most_once
combined-replay	injective_confirmed_receiver_accept	none	0	success	0	0	16384	0	proofs/combined-replay/injective_confirmed_receiver_accept.out	kwaay-m4-75155-6-combined-replay-injective_confirmed_receiver_accept
combined-replay	slot_indices_distinct	none	0	success	0	0	16384	0	proofs/combined-replay/slot_indices_distinct.out	kwaay-m4-75155-7-combined-replay-slot_indices_distinct
combined-replay	process_requires_slot_added	none	0	success	0	0	16384	0	proofs/combined-replay/process_requires_slot_added.out	kwaay-m4-75155-8-combined-replay-process_requires_slot_added
combined-replay	process_requires_seal	none	0	success	0	0	16384	0	proofs/combined-replay/process_requires_seal.out	kwaay-m4-75155-9-combined-replay-process_requires_seal
combined-replay	complete_requires_all_slots_processed	none	0	success	0	0	16384	0	proofs/combined-replay/complete_requires_all_slots_processed.out	kwaay-m4-75155-10-combined-replay-complete_requires_all_slots_processed
combined-replay	no_add_after_seal	none	0	success	0	0	16384	0	proofs/combined-replay/no_add_after_seal.out	kwaay-m4-75155-11-combined-replay-no_add_after_seal
combined-replay	no_accept_after_close	none	0	success	0	0	16384	0	proofs/combined-replay/no_accept_after_close.out	kwaay-m4-75155-12-combined-replay-no_accept_after_close
combined-replay	batch_complete_consumes_state	none	0	success	0	0	16384	0	proofs/combined-replay/batch_complete_consumes_state.out	kwaay-m4-75155-13-combined-replay-batch_complete_consumes_state
combined-replay	batch_fail_consumes_state	none	0	success	0	0	16384	0	proofs/combined-replay/batch_fail_consumes_state.out	kwaay-m4-75155-14-combined-replay-batch_fail_consumes_state
combined-replay	batch_end_token_single_use	none	0	success	0	0	16384	0	proofs/combined-replay/batch_end_token_single_use.out	kwaay-m4-75155-15-combined-replay-batch_end_token_single_use
combined-replay	receiver_state_single_batch	none	0	success	0	0	16384	0	proofs/combined-replay/receiver_state_single_batch.out	kwaay-m4-75155-16-combined-replay-receiver_state_single_batch
combined-replay	receiver_state_single_batch_end	none	0	success	0	0	16384	0	proofs/combined-replay/receiver_state_single_batch_end.out	kwaay-m4-75155-17-combined-replay-receiver_state_single_batch_end
combined-replay	duplicate_batch_fail_exists	none	0	success	0	0	16384	0	proofs/combined-replay/duplicate_batch_fail_exists.out	kwaay-m4-75155-18-combined-replay-duplicate_batch_fail_exists
combined-replay	duplicate_detected_before_any_accept	none	0	success	0	0	16384	0	proofs/combined-replay/duplicate_detected_before_any_accept.out	kwaay-m4-75155-19-combined-replay-duplicate_detected_before_any_accept
combined-replay	duplicate_batch_has_no_accept	none	0	success	0	0	16384	0	proofs/combined-replay/duplicate_batch_has_no_accept.out	kwaay-m4-75155-20-combined-replay-duplicate_batch_has_no_accept
combined-replay	process_requires_dedup_pass	none	0	success	0	0	16384	0	proofs/combined-replay/process_requires_dedup_pass.out	kwaay-m4-75155-21-combined-replay-process_requires_dedup_pass
combined-replay	dedup_pass_messages_distinct	none	0	success	0	0	16384	0	proofs/combined-replay/dedup_pass_messages_distinct.out	kwaay-m4-75155-22-combined-replay-dedup_pass_messages_distinct
